,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
368,kyabe,8,TD,1551928913,53,9.45,18.94,23.39,1.77
369,lagoa,0,PT,1551928627,93,37.14,-8.45,10.56,2.1
370,katsuura,75,JP,1551927282,62,33.93,134.5,12.0,7.2
371,zwedru,0,LR,1551928914,92,6.07,-8.13,23.44,2.82
372,longyearbyen,20,NO,1551927000,65,78.22,15.63,-15.0,4.6
373,saryozek,88,KZ,1551928914,97,44.36,77.98,-0.11,1.37
374,basco,90,US,1551928876,58,40.33,-91.2,-0.57,2.6
375,igarka,80,RU,1551928796,80,67.47,86.57,-14.46,10.07
376,klaksvik,44,FO,1551927000,100,62.23,-6.59,0.0,1.5
377,gariaband,0,IN,1551928915,41,20.63,82.06,21.67,2.07
378,abalak,0,NE,1551928915,39,15.46,6.28,16.42,1.97
379,jashpurnagar,0,IN,1551928916,61,22.88,84.14,18.82,1.87
380,remedios,75,CU,1551923400,73,22.5,-79.55,21.0,3.1
